Item1,Item2,Result
Peach Tart,Blue Apple,Fruity Cake
Peach Tart,Orange Apple,Fruity Cake
Peach Tart,Red Apple,Fruity Cake
Peach Tart,Pink Apple,Fruity Cake
Peach Tart,Primordial Fruit,Fruity Cake
Peach Tart,Mild Cocoa Bean,Chocolate Cake
Peach Tart,Horsetail,Horsetail Tart
Peach Tart,Honey Shroom,Shroom Cake
Peach Tart,Honey Super,Gingerbread House
Peach Tart,Shroom Broth,Shroom Cake
Peach Tart,Lovely Chocolate,Heartful Cake
Peach Tart,Standard Chocolate,Chocolate Cake
Peach Tart,Sweet Choco-bar,Chocolate Cake
Peach Tart,Shroom Choco-bar,Chocolate Cake
Peach Tart,Golden Choco-bar,Chocolate Cake
Peach Tart,Mushroom Crepe,Shroom Cake
Peach Tart,Shroom Cake,Gingerbread House
Peach Tart,Chocolate Cake,Gingerbread House
Peach Tart,Mousse,Gingerbread House
Peach Tart,Fruity Cake,Gingerbread House
Peach Tart,Heartful Cake,Gingerbread House
Horsetail Tart,Sleepy Sheep,Mistake
Horsetail Tart,Peachy Peach,Fruity Cake
Horsetail Tart,Keel Mango,Fruity Cake
Horsetail Tart,Blue Apple,Fruity Cake
Horsetail Tart,Orange Apple,Fruity Cake
Horsetail Tart,Red Apple,Fruity Cake
Horsetail Tart,Pink Apple,Fruity Cake
Horsetail Tart,Primordial Fruit,Fruity Cake
Horsetail Tart,Mild Cocoa Bean,Chocolate Cake
Horsetail Tart,Horsetail,Heavy Meal
Horsetail Tart,Honey Shroom,Shroom Cake
Horsetail Tart,Honey Super,Gingerbread House
Horsetail Tart,Shroom Broth,Shroom Cake
Horsetail Tart,Lovely Chocolate,Heartful Cake
Horsetail Tart,Standard Chocolate,Chocolate Cake
Horsetail Tart,Sweet Choco-bar,Chocolate Cake
Horsetail Tart,Shroom Choco-bar,Chocolate Cake
Horsetail Tart,Golden Choco-bar,Chocolate Cake
Horsetail Tart,Mushroom Crepe,Shroom Cake
Horsetail Tart,Shroom Cake,Gingerbread House
Horsetail Tart,Chocolate Cake,Gingerbread House
Horsetail Tart,Mousse,Gingerbread House
Horsetail Tart,Fruity Cake,Gingerbread House
Horsetail Tart,Heartful Cake,Gingerbread House
Horsetail Tart,Peach Tart,Gingerbread House
Gingerbread House,Sleepy Sheep,Mistake
Shroom Pudding,Sleepy Sheep,Mistake
Shroom Pudding,Ghost Shroom,Love Pudding
Shroom Pudding,Poison Shroom,Love Pudding
Shroom Pudding,Peachy Peach,Fruit Parfait
Shroom Pudding,Keel Mango,Mango Pudding
Shroom Pudding,Blue Apple,Fruit Parfait
Shroom Pudding,Orange Apple,Fruit Parfait
Shroom Pudding,Red Apple,Fruit Parfait
Shroom Pudding,Pink Apple,Fruit Parfait
Shroom Pudding,Primordial Fruit,Fruit Parfait
Mango Pudding,Sleepy Sheep,Mistake
Mango Pudding,Shroom Shake,Shroom Pudding
Mango Pudding,Long-Last Shake,Shroom Pudding
Mango Pudding,Volt Shroom,Shroom Pudding
Mango Pudding,Super Shroom Shake,Shroom Pudding
Mango Pudding,Life Shroom,Shroom Pudding
Mango Pudding,Ultra Shroom Shake,Shroom Pudding
Mango Pudding,Slimy Shroom,Shroom Pudding
Mango Pudding,Ghost Shroom,Love Pudding
Mango Pudding,Poison Shroom,Love Pudding
Mango Pudding,Peachy Peach,Fruit Parfait
Mango Pudding,Keel Mango,Heavy Meal
Mango Pudding,Blue Apple,Fruit Parfait
Mango Pudding,Orange Apple,Fruit Parfait
Mango Pudding,Red Apple,Fruit Parfait
Mango Pudding,Pink Apple,Fruit Parfait
Mango Pudding,Primordial Fruit,Fruit Parfait
Love Pudding,Sleepy Sheep,Mistake
Love Pudding,Shroom Shake,Shroom Pudding
Love Pudding,Long-Last Shake,Shroom Pudding
Love Pudding,Volt Shroom,Shroom Pudding
Love Pudding,Super Shroom Shake,Shroom Pudding
Love Pudding,Life Shroom,Shroom Pudding
Love Pudding,Ultra Shroom Shake,Shroom Pudding
Love Pudding,Slimy Shroom,Shroom Pudding
Love Pudding,Peachy Peach,Fruit Parfait
Love Pudding,Keel Mango,Mango Pudding
Love Pudding,Blue Apple,Fruit Parfait
Love Pudding,Orange Apple,Fruit Parfait
Love Pudding,Red Apple,Fruit Parfait
Love Pudding,Pink Apple,Fruit Parfait
Love Pudding,Primordial Fruit,Fruit Parfait
Fruity Punch,Thunder Rage,Electro Pop
Fruity Punch,Sleepy Sheep,Mistake
Fruity Punch,Shroom Shake,Fruity Shroom
Fruity Punch,Long-Last Shake,Gradual Syrup
Fruity Punch,Volt Shroom,Electro Pop
Fruity Punch,Super Shroom Shake,Fruity Shroom
Fruity Punch,Life Shroom,Fruity Shroom
Fruity Punch,Ultra Shroom Shake,Fruity Shroom
Fruity Punch,Slimy Shroom,Fruity Shroom
Snow Cone,Sleepy Sheep,Mistake
Snow Cone,Peachy Peach,Fruit Parfait
Snow Cone,Keel Mango,Fruit Parfait
Snow Cone,Blue Apple,Fruit Parfait
Snow Cone,Orange Apple,Fruit Parfait
Snow Cone,Red Apple,Fruit Parfait
Snow Cone,Pink Apple,Fruit Parfait
Snow Cone,Primordial Fruit,Fruit Parfait
Snow Cone,Turtley Leaf,Snow Bunny
Fruit Parfait,Sleepy Sheep,Mistake
Fruit Parfait,Peachy Peach,Fruity Punch
Fruit Parfait,Keel Mango,Fruity Punch
Fruit Parfait,Blue Apple,Fruity Punch
Fruit Parfait,Orange Apple,Fruity Punch
Fruit Parfait,Red Apple,Fruity Punch
Fruit Parfait,Pink Apple,Fruity Punch
Fruit Parfait,Primordial Fruit,Fruity Punch
Fruit Parfait,Turtley Leaf,Snow Bunny
Snow Bunny,Sleepy Sheep,Mistake
Snow Bunny,Peachy Peach,Fruit Parfait
Snow Bunny,Keel Mango,Fruit Parfait
Snow Bunny,Blue Apple,Fruit Parfait
Snow Bunny,Orange Apple,Fruit Parfait
Snow Bunny,Red Apple,Berry Snow Bunny
Snow Bunny,Pink Apple,Berry Snow Bunny
Snow Bunny,Primordial Fruit,Berry Snow Bunny
Berry Snow Bunny,Sleepy Sheep,Mistake
Berry Snow Bunny,Peachy Peach,Fruit Parfait
Berry Snow Bunny,Keel Mango,Fruit Parfait
Berry Snow Bunny,Blue Apple,Fruit Parfait
Berry Snow Bunny,Orange Apple,Fruit Parfait
Berry Snow Bunny,Red Apple,Fruit Parfait
Berry Snow Bunny,Pink Apple,Fruit Parfait
Berry Snow Bunny,Primordial Fruit,Fruit Parfait
Berry Snow Bunny,Snow Bunny,Couple's Cake
Couple's Cake,Sleepy Sheep,Mistake
Couple's Cake,Ghost Shroom,Trial Stew
Couple's Cake,Poison Shroom,Trial Stew
Couple's Cake,Cake Mix,Heartful Cake
Couple's Cake,Peachy Peach,Fruit Parfait
Couple's Cake,Keel Mango,Fruit Parfait
Couple's Cake,Blue Apple,Fruit Parfait
Couple's Cake,Orange Apple,Fruit Parfait
Couple's Cake,Red Apple,Fruit Parfait
Couple's Cake,Pink Apple,Fruit Parfait
Couple's Cake,Black Apple,Trial Stew
Couple's Cake,Primordial Fruit,Fruit Parfait
Peach Juice,Ice Storm,Snow Cone
Peach Juice,Thunder Rage,Electro Pop
Peach Juice,Mighty Tonic,Mixed Shake
Peach Juice,Sleepy Sheep,Mistake
Peach Juice,Shroom Shake,Fruity Shroom
Peach Juice,Long-Last Shake,Gradual Syrup
Peach Juice,Volt Shroom,Electro Pop
Peach Juice,Super Shroom Shake,Fruity Shroom
Peach Juice,Life Shroom,Fruity Shroom
Peach Juice,Ultra Shroom Shake,Fruity Shroom
Peach Juice,Slimy Shroom,Fruity Shroom
Peach Juice,Cake Mix,Peach Tart
Peach Juice,Big Egg,Peach Tart
Peach Juice,Peachy Peach,Fruity Punch
Peach Juice,Keel Mango,Fruity Punch
Peach Juice,Blue Apple,Fruity Punch
Peach Juice,Orange Apple,Fruity Punch
Peach Juice,Red Apple,Fruity Punch
Peach Juice,Pink Apple,Fruity Punch
Peach Juice,Primordial Fruit,Fruity Punch
Peach Juice,Honey Jar,Honey Candy
Peach Juice,Hot Sauce,Weird Extract
Peach Juice,Inky Sauce,Stamina Juice
Peach Juice,Dayzee Tear,Dayzee Syrup
Peach Juice,Sap Soup,Weird Extract
Peach Juice,Snow Bunny,Berry Snow Bunny
Mango Juice,Ice Storm,Snow Cone
Mango Juice,Thunder Rage,Electro Pop
Mango Juice,Mighty Tonic,Mixed Shake
Mango Juice,Sleepy Sheep,Mistake
Mango Juice,Shroom Shake,Fruity Shroom
Mango Juice,Long-Last Shake,Gradual Syrup
Mango Juice,Volt Shroom,Electro Pop
Mango Juice,Super Shroom Shake,Fruity Shroom
Mango Juice,Life Shroom,Fruity Shroom
Mango Juice,Ultra Shroom Shake,Fruity Shroom
Mango Juice,Slimy Shroom,Fruity Shroom
Mango Juice,Cake Mix,Mango Pudding
Mango Juice,Big Egg,Mango Pudding
Mango Juice,Peachy Peach,Fruity Punch
Mango Juice,Keel Mango,Fruity Punch
Mango Juice,Blue Apple,Fruity Punch
Mango Juice,Orange Apple,Fruity Punch
Mango Juice,Red Apple,Fruity Punch
Mango Juice,Pink Apple,Fruity Punch
Mango Juice,Primordial Fruit,Fruity Punch
Mango Juice,Honey Jar,Honey Candy
Mango Juice,Hot Sauce,Weird Extract
Mango Juice,Inky Sauce,Stamina Juice
Mango Juice,Dayzee Tear,Dayzee Syrup
Mango Juice,Sap Soup,Weird Extract
Mango Juice,Shroom Pudding,Mango Pudding
Mango Juice,Love Pudding,Mango Pudding
Mango Juice,Snow Bunny,Berry Snow Bunny
Mango Juice,Peach Juice,Mixed Shake
Sky Juice,Ice Storm,Snow Cone
Sky Juice,Thunder Rage,Electro Pop
Sky Juice,Mighty Tonic,Mixed Shake
Sky Juice,Sleepy Sheep,Mistake
Sky Juice,Shroom Shake,Fruity Shroom
Sky Juice,Long-Last Shake,Gradual Syrup
Sky Juice,Volt Shroom,Electro Pop
Sky Juice,Super Shroom Shake,Fruity Shroom
Sky Juice,Life Shroom,Fruity Shroom
Sky Juice,Ultra Shroom Shake,Fruity Shroom
Sky Juice,Slimy Shroom,Fruity Shroom
Sky Juice,Peachy Peach,Fruity Punch
Sky Juice,Keel Mango,Fruity Punch
Sky Juice,Blue Apple,Fruity Punch
Sky Juice,Orange Apple,Fruity Punch
Sky Juice,Red Apple,Fruity Punch
Sky Juice,Pink Apple,Fruity Punch
Sky Juice,Primordial Fruit,Fruity Punch
Sky Juice,Honey Jar,Honey Candy
Sky Juice,Hot Sauce,Weird Extract
Sky Juice,Inky Sauce,Stamina Juice
Sky Juice,Dayzee Tear,Dayzee Syrup
Sky Juice,Sap Soup,Weird Extract
Sky Juice,Snow Bunny,Berry Snow Bunny
Sky Juice,Peach Juice,Mixed Shake
Sky Juice,Mango Juice,Mixed Shake
Mixed Shake,Ice Storm,Snow Cone
Mixed Shake,Thunder Rage,Electro Pop
Mixed Shake,Sleepy Sheep,Mistake
Mixed Shake,Long-Last Shake,Gradual Syrup
Mixed Shake,Volt Shroom,Electro Pop
Mixed Shake,Peachy Peach,Fruity Punch
Mixed Shake,Keel Mango,Fruity Punch
Mixed Shake,Blue Apple,Fruity Punch
Mixed Shake,Orange Apple,Fruity Punch
Mixed Shake,Red Apple,Fruity Punch
Mixed Shake,Pink Apple,Fruity Punch
Mixed Shake,Primordial Fruit,Fruity Punch
Mixed Shake,Honey Jar,Honey Candy
Mixed Shake,Hot Sauce,Weird Extract
Mixed Shake,Inky Sauce,Stamina Juice
Mixed Shake,Dayzee Tear,Dayzee Syrup
Mixed Shake,Sap Soup,Weird Extract
Mixed Shake,Snow Bunny,Berry Snow Bunny
Warm Cocoa,Mighty Tonic,Mixed Shake
Warm Cocoa,Sleepy Sheep,Mistake
Warm Cocoa,Long-Last Shake,Gradual Syrup
Warm Cocoa,Cake Mix,Chocolate Cake
Warm Cocoa,Big Egg,Chocolate Cake
Warm Cocoa,Turtley Leaf,Koopa Tea
Warm Cocoa,Smelly Herb,Herb Tea
Herb Tea,Mighty Tonic,Mixed Shake
Herb Tea,Sleepy Sheep,Mistake
Herb Tea,Shroom Shake,Shroom Broth
Herb Tea,Long-Last Shake,Gradual Syrup
Herb Tea,Volt Shroom,Shroom Broth
Herb Tea,Super Shroom Shake,Shroom Broth
Herb Tea,Life Shroom,Shroom Broth
Herb Tea,Ultra Shroom Shake,Shroom Broth
Herb Tea,Slimy Shroom,Shroom Broth
Herb Tea,Turtley Leaf,Koopa Tea
Herb Tea,Smelly Herb,Heavy Meal
Koopa Tea,Mighty Tonic,Mixed Shake
Koopa Tea,Sleepy Sheep,Mistake
Koopa Tea,Shroom Shake,Shroom Broth
Koopa Tea,Long-Last Shake,Gradual Syrup
Koopa Tea,Volt Shroom,Shroom Broth
Koopa Tea,Super Shroom Shake,Shroom Broth
Koopa Tea,Life Shroom,Shroom Broth
Koopa Tea,Ultra Shroom Shake,Shroom Broth
Koopa Tea,Slimy Shroom,Shroom Broth
Koopa Tea,Fresh Pasta Bunch,Koopasta Dish
Koopa Tea,Turtley Leaf,Heavy Meal
Koopa Tea,Smelly Herb,Herb Tea
Stamina Juice,Ice Storm,Snow Cone
Stamina Juice,Thunder Rage,Electro Pop
Stamina Juice,Mighty Tonic,Mixed Shake
Stamina Juice,Sleepy Sheep,Mistake
Stamina Juice,Long-Last Shake,Gradual Syrup
Stamina Juice,Volt Shroom,Electro Pop
Stamina Juice,Honey Jar,Honey Candy
Stamina Juice,Hot Sauce,Weird Extract
Stamina Juice,Dayzee Tear,Dayzee Syrup
Stamina Juice,Sap Soup,Weird Extract
Stamina Juice,Peach Juice,Mixed Shake
Stamina Juice,Mango Juice,Mixed Shake
Stamina Juice,Sky Juice,Mixed Shake
Gradual Syrup,Ice Storm,Snow Cone
Gradual Syrup,Thunder Rage,Electro Pop
Gradual Syrup,Mighty Tonic,Mixed Shake
Gradual Syrup,Sleepy Sheep,Mistake
Gradual Syrup,Shroom Shake,Shroom Delicacy
Gradual Syrup,Long-Last Shake,Shroom Delicacy
Gradual Syrup,Volt Shroom,Electro Pop
Gradual Syrup,Super Shroom Shake,Shroom Delicacy
Gradual Syrup,Life Shroom,Shroom Delicacy
Gradual Syrup,Ultra Shroom Shake,Shroom Delicacy
Gradual Syrup,Slimy Shroom,Shroom Delicacy
Gradual Syrup,Peachy Peach,Fruity Punch
Gradual Syrup,Keel Mango,Fruity Punch
Gradual Syrup,Blue Apple,Fruity Punch
Gradual Syrup,Orange Apple,Fruity Punch
Gradual Syrup,Red Apple,Fruity Punch
Gradual Syrup,Pink Apple,Fruity Punch
Gradual Syrup,Honey Jar,Honey Candy
Gradual Syrup,Hot Sauce,Weird Extract
Gradual Syrup,Inky Sauce,Stamina Juice
Gradual Syrup,Dayzee Tear,Dayzee Syrup
Gradual Syrup,Sap Soup,Weird Extract
Gradual Syrup,Snow Bunny,Berry Snow Bunny
Gradual Syrup,Peach Juice,Mixed Shake
Gradual Syrup,Mango Juice,Mixed Shake
Gradual Syrup,Sky Juice,Mixed Shake
Gradual Syrup,Stamina Juice,Mixed Shake
Dayzee Syrup,Ice Storm,Snow Cone
Dayzee Syrup,Thunder Rage,Electro Pop
Dayzee Syrup,Mighty Tonic,Mixed Shake
Dayzee Syrup,Sleepy Sheep,Mistake
Dayzee Syrup,Shroom Shake,Gradual Syrup
Dayzee Syrup,Long-Last Shake,Shroom Delicacy
Dayzee Syrup,Volt Shroom,Electro Pop
Dayzee Syrup,Super Shroom Shake,Gradual Syrup
Dayzee Syrup,Life Shroom,Gradual Syrup
Dayzee Syrup,Ultra Shroom Shake,Gradual Syrup
Dayzee Syrup,Slimy Shroom,Gradual Syrup
Dayzee Syrup,Peachy Peach,Fruity Punch
Dayzee Syrup,Keel Mango,Fruity Punch
Dayzee Syrup,Blue Apple,Fruity Punch
Dayzee Syrup,Orange Apple,Fruity Punch
Dayzee Syrup,Red Apple,Fruity Punch
Dayzee Syrup,Pink Apple,Fruity Punch
Dayzee Syrup,Honey Jar,Honey Candy
Dayzee Syrup,Hot Sauce,Weird Extract
Dayzee Syrup,Inky Sauce,Stamina Juice
Dayzee Syrup,Dayzee Tear,Heavy Meal
Dayzee Syrup,Sap Soup,Weird Extract
Dayzee Syrup,Snow Bunny,Berry Snow Bunny
Dayzee Syrup,Peach Juice,Mixed Shake
Dayzee Syrup,Mango Juice,Mixed Shake
Dayzee Syrup,Sky Juice,Mixed Shake
Dayzee Syrup,Stamina Juice,Mixed Shake
Dayzee Syrup,Gradual Syrup,Mixed Shake
Sap Syrup,Ice Storm,Snow Cone
Sap Syrup,Thunder Rage,Electro Pop
Sap Syrup,Mighty Tonic,Mixed Shake
Sap Syrup,Sleepy Sheep,Mistake
Sap Syrup,Shroom Shake,Gradual Syrup
Sap Syrup,Long-Last Shake,Shroom Delicacy
Sap Syrup,Volt Shroom,Electro Pop
Sap Syrup,Super Shroom Shake,Gradual Syrup
Sap Syrup,Life Shroom,Gradual Syrup
Sap Syrup,Ultra Shroom Shake,Gradual Syrup
Sap Syrup,Slimy Shroom,Gradual Syrup
Sap Syrup,Peachy Peach,Fruity Punch
Sap Syrup,Keel Mango,Fruity Punch
Sap Syrup,Blue Apple,Fruity Punch
Sap Syrup,Orange Apple,Fruity Punch
Sap Syrup,Red Apple,Fruity Punch
Sap Syrup,Pink Apple,Fruity Punch
Sap Syrup,Honey Jar,Honey Candy
Sap Syrup,Hot Sauce,Weird Extract
Sap Syrup,Inky Sauce,Stamina Juice
Sap Syrup,Dayzee Tear,Dayzee Syrup
Sap Syrup,Sap Soup,Heavy Meal
Sap Syrup,Snow Bunny,Berry Snow Bunny
Sap Syrup,Peach Juice,Mixed Shake
Sap Syrup,Mango Juice,Mixed Shake
Sap Syrup,Sky Juice,Mixed Shake
Sap Syrup,Stamina Juice,Mixed Shake
Sap Syrup,Gradual Syrup,Mixed Shake
Sap Syrup,Dayzee Syrup,Mixed Shake
Slimy Extract,Sleepy Sheep,Mistake
Slimy Extract,Shroom Shake,Life Shroom
Slimy Extract,Long-Last Shake,Life Shroom
Slimy Extract,Volt Shroom,Life Shroom
Slimy Extract,Super Shroom Shake,Life Shroom
Slimy Extract,Life Shroom,Super Shroom Shake
Slimy Extract,Ultra Shroom Shake,Life Shroom
Slimy Extract,Slimy Shroom,Life Shroom
Slimy Extract,Cake Mix,Heartful Cake
Slimy Extract,Big Egg,Love Pudding
Slimy Extract,Fresh Pasta Bunch,Love Noodle Dish
Slimy Extract,Mild Cocoa Bean,Lovely Chocolate
Slimy Extract,Hot Sauce,Weird Extract
Slimy Extract,Inky Sauce,Stamina Juice
Slimy Extract,Dayzee Tear,Dayzee Syrup
Slimy Extract,Sap Soup,Weird Extract
Slimy Extract,Lovely Chocolate,Standard Chocolate
Slimy Extract,Standard Chocolate,Lovely Chocolate
Slimy Extract,Sweet Choco-bar,Lovely Chocolate
Slimy Extract,Shroom Choco-bar,Lovely Chocolate
Slimy Extract,Golden Choco-bar,Lovely Chocolate
Slimy Extract,Shroom Cake,Heartful Cake
Slimy Extract,Chocolate Cake,Heartful Cake
Slimy Extract,Mousse,Heartful Cake
Slimy Extract,Fruity Cake,Heartful Cake
Slimy Extract,Peach Tart,Heartful Cake
Slimy Extract,Horsetail Tart,Heartful Cake
Slimy Extract,Shroom Pudding,Love Pudding
Slimy Extract,Mango Pudding,Love Pudding
Weird Extract,Sleepy Sheep,Mistake
Weird Extract,Shroom Shake,Shroom Delicacy
Weird Extract,Long-Last Shake,Shroom Delicacy
Weird Extract,Volt Shroom,Shroom Delicacy
Weird Extract,Super Shroom Shake,Shroom Delicacy
Weird Extract,Life Shroom,Shroom Delicacy
Weird Extract,Ultra Shroom Shake,Shroom Delicacy
Weird Extract,Slimy Shroom,Shroom Delicacy
Weird Extract,Inky Sauce,Stamina Juice
Weird Extract,Dayzee Tear,Dayzee Syrup
Fried Shroom Plate,Shooting Star,Meteor Meal
Fried Shroom Plate,POW Block,Megaton Dinner
Fried Shroom Plate,Sleepy Sheep,Mistake
Fried Shroom Plate,Shroom Shake,Dyllis Breakfast
Fried Shroom Plate,Long-Last Shake,Dyllis Breakfast
Fried Shroom Plate,Volt Shroom,Dyllis Breakfast
Fried Shroom Plate,Super Shroom Shake,Dyllis Breakfast
Fried Shroom Plate,Life Shroom,Dyllis Breakfast
Fried Shroom Plate,Ultra Shroom Shake,Dyllis Lunch
Fried Shroom Plate,Slimy Shroom,Dyllis Breakfast
Fried Shroom Plate,Ghost Shroom,Odd Dinner
Fried Shroom Plate,Poison Shroom,Odd Dinner
Fried Shroom Plate,Fresh Pasta Bunch,Spaghetti Plate
Fried Shroom Plate,Black Apple,Odd Dinner
Fried Shroom Plate,Golden Leaf,Golden Meal
Roast Shroom Dish,Shooting Star,Meteor Meal
Roast Shroom Dish,POW Block,Megaton Dinner
Roast Shroom Dish,Sleepy Sheep,Mistake
Roast Shroom Dish,Shroom Shake,Dyllis Breakfast
Roast Shroom Dish,Long-Last Shake,Dyllis Breakfast
Roast Shroom Dish,Volt Shroom,Dyllis Breakfast
Roast Shroom Dish,Super Shroom Shake,Dyllis Breakfast
Roast Shroom Dish,Life Shroom,Dyllis Breakfast
Roast Shroom Dish,Ultra Shroom Shake,Dyllis Lunch
Roast Shroom Dish,Slimy Shroom,Dyllis Breakfast
Roast Shroom Dish,Ghost Shroom,Odd Dinner
Roast Shroom Dish,Poison Shroom,Odd Dinner
Roast Shroom Dish,Fresh Pasta Bunch,Spaghetti Plate
Roast Shroom Dish,Black Apple,Odd Dinner
Roast Shroom Dish,Golden Leaf,Golden Meal
Roast Shroom Dish,Fried Shroom Plate,Dyllis Dinner
Shroom Steak,Shooting Star,Meteor Meal
Shroom Steak,POW Block,Megaton Dinner
Shroom Steak,Sleepy Sheep,Mistake
Shroom Steak,Shroom Shake,Dyllis Lunch
Shroom Steak,Long-Last Shake,Dyllis Lunch
Shroom Steak,Volt Shroom,Dyllis Lunch
Shroom Steak,Super Shroom Shake,Dyllis Lunch
Shroom Steak,Life Shroom,Dyllis Lunch
Shroom Steak,Ultra Shroom Shake,Dyllis Dinner
Shroom Steak,Slimy Shroom,Dyllis Lunch
Shroom Steak,Ghost Shroom,Odd Dinner
Shroom Steak,Poison Shroom,Odd Dinner
Shroom Steak,Fresh Pasta Bunch,Spaghetti Plate
Shroom Steak,Black Apple,Odd Dinner
Shroom Steak,Golden Leaf,Golden Meal
Shroom Steak,Fried Shroom Plate,Dyllis Special
Shroom Steak,Roast Shroom Dish,Dyllis Deluxe
Shroom Delicacy,Shooting Star,Meteor Meal
Shroom Delicacy,POW Block,Megaton Dinner
Shroom Delicacy,Sleepy Sheep,Mistake
Shroom Delicacy,Shroom Shake,Dyllis Breakfast
Shroom Delicacy,Long-Last Shake,Dyllis Breakfast
Shroom Delicacy,Volt Shroom,Dyllis Breakfast
Shroom Delicacy,Super Shroom Shake,Dyllis Breakfast
Shroom Delicacy,Life Shroom,Dyllis Breakfast
Shroom Delicacy,Ultra Shroom Shake,Dyllis Lunch
Shroom Delicacy,Slimy Shroom,Dyllis Breakfast
Shroom Delicacy,Ghost Shroom,Odd Dinner
Shroom Delicacy,Poison Shroom,Odd Dinner
Shroom Delicacy,Fresh Pasta Bunch,Spaghetti Plate
Shroom Delicacy,Black Apple,Odd Dinner
Shroom Delicacy,Golden Leaf,Golden Meal
Shroom Delicacy,Fried Shroom Plate,Dyllis Lunch
Shroom Delicacy,Roast Shroom Dish,Dyllis Dinner
Shroom Delicacy,Shroom Steak,Dyllis Special
Fruity Shroom,Sleepy Sheep,Mistake
Fruity Shroom,Shroom Shake,Mushroom Crepe
Fruity Shroom,Long-Last Shake,Mushroom Crepe
Fruity Shroom,Volt Shroom,Mushroom Crepe
Fruity Shroom,Super Shroom Shake,Shroom Cake
Fruity Shroom,Life Shroom,Shroom Cake
Fruity Shroom,Ultra Shroom Shake,Shroom Cake
Fruity Shroom,Slimy Shroom,Mushroom Crepe
Fruity Shroom,Ghost Shroom,Dangerous Delight
Fruity Shroom,Poison Shroom,Dangerous Delight
Fruity Shroom,Cake Mix,Mushroom Crepe
Fruity Shroom,Big Egg,Mushroom Crepe
Fruity Shroom,Mild Cocoa Bean,Shroom Choco-bar
Fruity Shroom,Honey Jar,Honey Shroom
Fruity Shroom,Smelly Herb,Shroom Broth
Fruity Shroom,Lovely Chocolate,Shroom Choco-bar
Fruity Shroom,Standard Chocolate,Shroom Choco-bar
Fruity Shroom,Sweet Choco-bar,Shroom Choco-bar
Fruity Shroom,Shroom Choco-bar,Chocolate Cake
Fruity Shroom,Golden Choco-bar,Shroom Choco-bar
Fruity Shroom,Mushroom Crepe,Shroom Cake
Fruity Shroom,Chocolate Cake,Shroom Cake
Fruity Shroom,Mousse,Shroom Cake
Fruity Shroom,Fruity Cake,Shroom Cake
Fruity Shroom,Heartful Cake,Shroom Cake
Fruity Shroom,Peach Tart,Shroom Cake
Fruity Shroom,Horsetail Tart,Shroom Cake
Volcano Shroom,Shooting Star,Meteor Meal
Volcano Shroom,POW Block,Megaton Dinner
Volcano Shroom,Sleepy Sheep,Mistake
Volcano Shroom,Shroom Shake,Dyllis Breakfast
Volcano Shroom,Long-Last Shake,Dyllis Breakfast
Volcano Shroom,Volt Shroom,Dyllis Breakfast
Volcano Shroom,Super Shroom Shake,Dyllis Breakfast
Volcano Shroom,Life Shroom,Dyllis Breakfast
Volcano Shroom,Ultra Shroom Shake,Dyllis Lunch
Volcano Shroom,Slimy Shroom,Dyllis Breakfast
Volcano Shroom,Ghost Shroom,Odd Dinner
Volcano Shroom,Poison Shroom,Odd Dinner
Volcano Shroom,Big Egg,Egg Bomb
Volcano Shroom,Fresh Pasta Bunch,Spicy Pasta Dish
Volcano Shroom,Black Apple,Odd Dinner
Volcano Shroom,Mild Cocoa Bean,Shroom Choco-bar
Volcano Shroom,Honey Jar,Honey Shroom
Volcano Shroom,Hot Sauce,Spicy Dinner
Volcano Shroom,Fried Shroom Plate,Dyllis Lunch
Volcano Shroom,Roast Shroom Dish,Dyllis Dinner
Volcano Shroom,Shroom Steak,Dyllis Special
Volcano Shroom,Shroom Delicacy,Dyllis Lunch
Fried Egg,Shooting Star,Meteor Meal
Fried Egg,POW Block,Megaton Dinner
Fried Egg,Sleepy Sheep,Mistake
Fried Egg,Shroom Shake,Dyllis Breakfast
Fried Egg,Long-Last Shake,Dyllis Breakfast
Fried Egg,Volt Shroom,Dyllis Breakfast
Fried Egg,Super Shroom Shake,Dyllis Breakfast
Fried Egg,Life Shroom,Dyllis Breakfast
Fried Egg,Ultra Shroom Shake,Dyllis Lunch
Fried Egg,Slimy Shroom,Dyllis Breakfast
Fried Egg,Ghost Shroom,Odd Dinner
Fried Egg,Poison Shroom,Odd Dinner
Fried Egg,Fresh Pasta Bunch,Spaghetti Plate
Fried Egg,Black Apple,Odd Dinner
Fried Egg,Fried Shroom Plate,Dyllis Breakfast
Fried Egg,Roast Shroom Dish,Dyllis Lunch
Fried Egg,Shroom Steak,Dyllis Dinner
Fried Egg,Shroom Delicacy,Dyllis Breakfast
Fried Egg,Volcano Shroom,Dyllis Breakfast
Omelette Plate,Shooting Star,Meteor Meal
Omelette Plate,POW Block,Megaton Dinner
Omelette Plate,Sleepy Sheep,Mistake
Omelette Plate,Shroom Shake,Dyllis Breakfast
Omelette Plate,Long-Last Shake,Dyllis Breakfast
Omelette Plate,Volt Shroom,Dyllis Breakfast
Omelette Plate,Super Shroom Shake,Dyllis Breakfast
Omelette Plate,Life Shroom,Dyllis Breakfast
Omelette Plate,Ultra Shroom Shake,Dyllis Lunch
Omelette Plate,Slimy Shroom,Dyllis Breakfast
Omelette Plate,Ghost Shroom,Odd Dinner
Omelette Plate,Poison Shroom,Odd Dinner
Omelette Plate,Fresh Pasta Bunch,Spaghetti Plate
